,cleaned_label,description,domain,id,range,superproperty
491,company,,,http://dbpedia.org/ontology/company,['http://dbpedia.org/ontology/Organisation'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
492,comparable,"similar, unrelated rockets",['http://dbpedia.org/ontology/Rocket'],http://dbpedia.org/ontology/comparable,['http://dbpedia.org/ontology/Rocket'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
493,competition,,['http://dbpedia.org/ontology/SportCompetitionResult'],http://dbpedia.org/ontology/competition,['http://dbpedia.org/ontology/Event'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn']
494,competition title,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/competitionTitle,['http://dbpedia.org/ontology/SportsEvent'],
495,compiler,For compilation albums: the person or entity responsible for selecting the album's track listing.,['http://dbpedia.org/ontology/Album'],http://dbpedia.org/ontology/compiler,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
496,completion date,,['http://dbpedia.org/ontology/Work'],http://dbpedia.org/ontology/completionDate,['http://www.w3.org/2001/XMLSchema#date'],
497,complexion,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/complexion,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality']
498,complexity,Complexity of preparing a Food (recipe),['http://dbpedia.org/ontology/Food'],http://dbpedia.org/ontology/complexity,['http://www.w3.org/2001/XMLSchema#string'],
499,complications,,['http://dbpedia.org/ontology/Disease'],http://dbpedia.org/ontology/complications,['http://www.w3.org/2001/XMLSchema#string'],
500,component,,['http://dbpedia.org/ontology/Brain'],http://dbpedia.org/ontology/component,['http://dbpedia.org/ontology/AnatomicalStructure'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasComponent']
501,composer,,['http://dbpedia.org/ontology/Work'],http://dbpedia.org/ontology/composer,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
502,compression ratio,,['http://dbpedia.org/ontology/AutomobileEngine'],http://dbpedia.org/ontology/compressionRatio,['http://www.w3.org/2001/XMLSchema#string'],
503,computing input,,['http://dbpedia.org/ontology/Software'],http://dbpedia.org/ontology/computingInput,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
504,computing media,,['http://dbpedia.org/ontology/Software'],http://dbpedia.org/ontology/computingMedia,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
505,computing platform,"some sort of hardware architecture or software framework, that allows this software to run",['http://dbpedia.org/ontology/Software'],http://dbpedia.org/ontology/computingPlatform,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
506,configuration,,['http://dbpedia.org/ontology/AutomobileEngine'],http://dbpedia.org/ontology/configuration,['http://dbpedia.org/datatype/engineConfiguration'],
507,confirmed cases,Number of confirmed cases in a pandemic,['http://dbpedia.org/ontology/Outbreak'],http://dbpedia.org/ontology/confirmedCases,['http://www.w3.org/2001/XMLSchema#integer'],
508,conflict,,,http://dbpedia.org/ontology/conflict,['http://dbpedia.org/ontology/MilitaryConflict'],
509,congressional district,,['http://dbpedia.org/ontology/AdministrativeRegion'],http://dbpedia.org/ontology/congressionalDistrict,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf']
510,connects referenced to,connects a referenced resource to another resource. This property is important to connect non-extracted resources to extracted ones,['http://dbpedia.org/ontology/Reference'],http://dbpedia.org/ontology/connectsReferencedTo,,
511,connotation,"A meaning of a word or phrase that is suggested or implied, as opposed to a denotation, or literal meaning.",,http://dbpedia.org/ontology/connotation,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
512,consecration,,['http://dbpedia.org/ontology/Cleric'],http://dbpedia.org/ontology/consecration,['http://www.w3.org/2001/XMLSchema#string'],
513,conservation status,,['http://dbpedia.org/ontology/Species'],http://dbpedia.org/ontology/conservationStatus,['http://www.w3.org/2001/XMLSchema#string'],
514,conservation status system,,['http://dbpedia.org/ontology/Species'],http://dbpedia.org/ontology/conservationStatusSystem,['http://www.w3.org/2001/XMLSchema#string'],
515,constellation,,['http://dbpedia.org/ontology/CelestialBody'],http://dbpedia.org/ontology/constellation,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart']
516,constituency district,,,http://dbpedia.org/ontology/constituencyDistrict,['http://dbpedia.org/ontology/PopulatedPlace'],
517,construction,,['http://dbpedia.org/ontology/ArchitecturalStructure'],http://dbpedia.org/ontology/construction,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
518,construction material,"Construction material (eg. concrete, steel, iron, stone, brick, wood).",['http://dbpedia.org/ontology/ArchitecturalStructure'],http://dbpedia.org/ontology/constructionMaterial,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasConstituent']
519,contest,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/contest,['http://dbpedia.org/ontology/Contest'],
520,continent,links a country to the continent it belongs,['http://dbpedia.org/ontology/Country'],http://dbpedia.org/ontology/continent,['http://dbpedia.org/ontology/Continent'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf']
521,continent rank,Place of the building in the list of the highest buildings in the continent,['http://dbpedia.org/ontology/Skyscraper'],http://dbpedia.org/ontology/continentRank,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
522,continental tournament,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/continentalTournament,['http://dbpedia.org/ontology/Tournament'],
